N,OriginalReviews,PreprocessedReviews,Restaurant,ID,total_length,weight,total_percentage,label,RestaurantType
1081,      المكان رائع ويستحق التجربة     اجواء رائعة   قائمة متنوعة الوجبات ولذيذة لغاية    الاسعار مرتفعه بالمقارنة نوعية الأكل المقدم      ,      لم رئع سحق جرب     اجواء رئع   قائم تنع وجب لذذ لغي    الاسعار رفع قرن نوع اكل مقدم      ,Pane Vino- بانيه فينو,103,17,15,0.882352941176471,Positive,شرقي
1082,    رخيص،طعم عجيب،قعدة حلوة عجيب وانصح الكل والباستا أحلى شي متازة وانصح فيها، مشوياته عادية وفيه خيارات حلوة لوجبة الغداء      ,    رخيص،طعم عجيب،قعدة حلة عجيب نصح لكل بست حلى شي تاز نصح يه، شوا عدي وفه خير حلة وجب غداء      ,Pane Vino- بانيه فينو,103,19,0,0,Neutral,شرقي
1083,    جيدا الاسعار متوسطة بالغالية بالرخيصة، يوجد كراسي الجلوس الارض الطابق العلوي الخدمة متازة العمال ودودين      ,    جد الاسعار توسط غلي رخيصة، وجد كرس جلس ارض طبق علي خدم تاز عمل ودودين      ,Pane Vino- بانيه فينو,103,15,-1,-0.0666666666666667,Negative,شرقي
1084,    ميز من اجمل المطاعم بجدة الاكل والخدمه نجوم والجلسة غالي الاكل الموقع شوي كمان مو بصراحه انا اعجبني المطعم وانصح باخذ له      ,    مز م جمل طعم بجد اكل خدم نجم جلس غلي اكل وقع شوي كمن مو صرح انا عجب طعم نصح بخذ ه      ,Pane Vino- بانيه فينو,103,22,3,0.136363636363636,Positive,شرقي
1085,    أفضل الموجود مدينة تبوك المطعم متاز مقارنة باقي المطاعم مدينة تبوكقائمة الطعام متنوعة وصحية وتماشى الاذواق لاحتوائها اطعمة آسيوية واوروبية نسى المشوياتيعيب المطعم يفتح العصر وصالة الأفراد ضيقة نوعا ماهنالك جلسه خارجية الهواء الطلق لراغبين بتدخين الارجيلة الشيشة      ,    أفضل وجد دين تبك المطعم تاز قرن بقي طعم دين تبوكقائمة طعم تنع وصح مشى ذوق حوئ طعم سية واوروبية نسى مشوياتيعيب طعم فتح عصر وصل فرد ضيق نوع ماهنالك جلس خرج هوء طلق رغب تدخ رجل شيشة      ,Pane Vino- بانيه فينو,103,38,-2,-0.0526315789473684,Negative,شرقي
1086,    حلو وفيه تميز بعض كيكاته لذيده، وينفع لحفلات الصغيرة والبسيطة، نكهات مختلفةتميز بكوب كيك صغير ومشكل، انصح بتجربتهمكانه قريب مكتبة جرير والعثيم مول      ,    حلو وفه تمز بعض كيك ذيده، نفع حفل صغر طة، نكه مختلفةتميز بكب كيك صغر شكل، نصح بتجربتهمكانه قرب كتب جرر عثم ول      ,Pane Vino- بانيه فينو,103,23,5,0.217391304347826,Positive,شرقي
1087,    أفضل المطاعم البنانية مطعم لبناني غني التعريف فرع العالم موقعه بالضبط المواقف الخلفية لمجمع العاليفيه جلسات داخلية وخارجية ودور يقدم المأكولات البنانية صوت فيروزاكله متاز والخدمة رائعة والجو العام حلو      ,    أفضل طعم بنن مطعم لبن غني عرف فرع علم وقع ضبط وقف خلف جمع عاليفيه جلس دخل خرج ودر قدم أكل بنن صوت فيروزاكله تاز خدم رئع لجو عام حلو      ,Pane Vino- بانيه فينو,103,30,8,0.266666666666667,Positive,شرقي
1088,    مطعم الفردوس افضل الطاعم الهندية بالمنامة مطعم الفردوس افضل الطاعم الهندية بالمنامةرقم شارع الحكومة تقاطع الشيراتونالمطعم نظيف وجيدة المطاعم الحديثةتناولت برياني سمك وشوربة فطر خبزالخدمة جيدة والموظفين ودودين      ,    مطعم ردس فضل طعم هند نام مطعم ردس فضل طعم هند منامةرقم شرع حكم قطع شيراتونالمطعم نظف وجد طعم حديثةتناولت برا سمك شورب فطر خبزالخدمة جيد وظف ودودين      ,Pane Vino- بانيه فينو,103,28,16,0.571428571428571,Positive,شرقي
1089,    مكان مفضل الاسعار غاليه الطعام لذيذ الجو رومنسي هادىء يوجد اطفال العرب المزعجين المكان كله اجانب افضل شيئ الخدمه الطعام لايعلى خاصتاً الستيك المشوي الاصليو المطاعم افكر الذهاب الشعور بالحنين لطبق ستيك      ,    مك فضل الاسعار غلي طعم لذذ لجو رومنس هادىء وجد طفل عرب زعج كان كله جنب فضل شيئ خدم طعم على خصت ستك شوي صليو طعم فكر ذهب شعر حنن طبق ك      ,Pane Vino- بانيه فينو,103,32,6,0.1875,Positive,شرقي
1090,    لذة الطعام مطعمي المفضل  احب الطعام الامريكي وفرايديز يقدم الطعام بلذة كبيرةلذيذ جدااحبه كثيرا      ,    لذ طعم مطعم فضل  احب طعم امر وفرايديز قدم طعم بلذ كبيرةلذيذ جدااحبه كثيرا      ,Pane Vino- بانيه فينو,103,14,2,0.142857142857143,Positive,شرقي
1091,    بندروزا ندروزا مطعم عائلي الدرجة الأولى استمتعت وعائلتي بطعم الستيك بالإضافة أطفالي قضو قوتاً مرحا هناك      ,    بندروزا ندروزا طعم عئل درج ولى متع وعل طعم ستك ضفة طفل قضو قوت رحا هناك      ,Pane Vino- بانيه فينو,103,16,6,0.375,Positive,شرقي
1092,    إذا تحب الجديد روح أهناك أتريد تعيش تجربه أمريكية جديده نوعها وخدمه ميزه تحب الطعم الامريكي بزياره بنيجانز لانه افضل مطعم أمريكي زرته البحرين      ,    إذ تحب جدد روح هنك أتريد تعش جرب امر جدد نوع خدم يزه تحب طعم امر زير جنز لنه فضل طعم امر زرت حرين      ,Pane Vino- بانيه فينو,103,24,4,0.166666666666667,Positive,شرقي
1093,    ليس لذيذ الطعام لذيذ وجبات الغذاء والعشاء المقبلات لذيذة يعجبني الناحية الشاي والمشروبات والحلويات لذيذة جدا      ,    لس لذذ الطعام لذذ وجب غذء عشء قبل لذذ عجب نحي شاي شرب حلي لذذ جد      ,Pane Vino- بانيه فينو,103,16,5,0.3125,Positive,شرقي
1094,    الافضل كمطعم هندي كل شيء رائع كجوده اكل الزحمه والسعر يصدمانك فالمطعم جدير بالزياره والاكل وفير والخدمه متميزه      ,    الافضل كمطعم هند كل شيء رئع كجد اكل زحم سعر صدم طعم جدر زير اكل وفر خدم متميزه      ,Pane Vino- بانيه فينو,103,18,5,0.277777777777778,Positive,شرقي
1095,    الطعم الذيذ الطبق اسأم البرياني بالدجاج الحم بدون عظم طعمه خيالي اسعاره مرتفعه قليلا يستاهل لذه اطباقه      ,    الطعم ذيذ الطبق سأم برا دجج لحم بدن عظم طعم خيل سعر رفع قلل تهل لذه اطباقه      ,Pane Vino- بانيه فينو,103,17,0,0,Neutral,شرقي
1096,    استمتعت بالطعام ذهبت مره خطيبي والدي ذهبت اصدقائ لقد استمتع الجميع بالطعامو تكن الاسعار مرتفعه جيده       ,    استمتعت طعم ذهب مره خطب ولد ذهب صدقائ لقد متع جمع طعامو تكن سعر رفع جيد       ,Pane Vino- بانيه فينو,103,16,8,0.5,Positive,شرقي
1097,    مكان هادي ورايق مره مره المكان عجبني وسوالي زوجي قلبي اهو احلي سبرايز وداني هالمكان مره يحن واحواء اروع انصحكم تزورونه حبيت جلسات ابحديقه بره داخل نوذاك زود الجلسه بره خيال      ,    مك هدي ريق مر مره كان عجب سول زوج قلب اهو احل ريز ودا هلم مره يحن حوء ارع نصح زورو حبت جلس حدق بره دخل نوذ زود جلس بره خيال      ,Pane Vino- بانيه فينو,103,31,2,0.0645161290322581,Positive,شرقي
1098,           انه المطعم التايلندي الأولوالأفضل البحرين ناحية طعم الأكل وأفضل الأسعار الموظفين كانوا تقديم الخدمة المتازة      ,           ن طعم لند اولوالأفضل بحر نحي طعم اكل أفضل سعر وظف كان قدم خدم متازة      ,Pane Vino- بانيه فينو,103,15,-3,-0.2,Negative,شرقي
1099,    مقهى روعة مقهى روعةاضافة ولمسة جديدة تستحق الزيارةقمنا اصدقاء بهاالي المقهياعجبني تشيكلات الحلويات والايسكريمطلبنا قطعتين الكيك وقهوة وشايوجلسنا بالخارجضايقنا الذباب الجو المعتدل هذة الفترة العامونرجو تجد الادارة طريقة الامر      ,    مقهى روع مقهى روعةاضافة لمس جدد سحق زيارةقم اصدقاء بهاالي مقهياعجب شيكل حلي ايسكريمطلب قطع كيك قهو وشايوجلس خارجضايق ذبب لجو عدل هذة فتر عامونرجو تجد درة طرق ر      ,Pane Vino- بانيه فينو,103,29,2,0.0689655172413793,Positive,شرقي
1100,    موقع متاز وأكل طيب يمتاز بالعديد أصناف الحلويات اخترنا نوعية شوكولاتة طيبة عادة مكتظاً بالزبائن العطلات      ,    موقع تاز أكل طيب يمتاز عدد صنف حلي ختر نوع شوكولاتة طيب عدة كظا زبن عطلات      ,Pane Vino- بانيه فينو,103,16,0,0,Neutral,شرقي
1101,    لذيذ اسمه مكان رائع نتذوق الذ طاب الشوكولاته مشروبات طعام حلويات كيك خاصتا الكرواسون بالشوكولاته الجيز كيك شراب الشوكولاته الساخن يمي اريد الذهاب اسبوع و يجب الاكثار الحلويات خوفا السمنه السكري      ,    لذيذ اسم م رئع تذق الذ طاب شوكولاته شرب طعم حلي كيك خصت كرواس شوكولاته جيز كيك شرب شوكولاته سخن يمي ارد ذهب سبع و يجب كثر حلي خوف سمن كري      ,Pane Vino- بانيه فينو,103,31,7,0.225806451612903,Positive,شرقي
1102,    لمحبي الحوم والتغير هذا المطعم البرازيلي فريد نوعه طريقة تقديم الطعام  البوفيه المفتوح، وبعد تنتهي منه،، يمكنك وضع العلامة الخشبية وضع معين بحيث ينتبه المضيفون استعدادك لتلقي انواع الحوم  اصناف عديدة الحوم، أذقه المطعم فهناك لحم الغزال ولحم النعام وانوع كثيرة جداً  تجربة رائعة خصوصاً لمحبي التغير الطعام      ,    لمحب حوم تغر هذ طعم رازيل فرد نوع طرق قدم طعم  بوف مفتوح، بعد نهي ه،، يمك وضع علم خشب وضع عين بحث نبه ضيف استعدادك تلق واع حوم  صنف عدد حوم، اذق طعم فهن لحم غزل لحم نعم ونع كثر جدا  جرب رئع خصص محب تغر طعام      ,Pane Vino- بانيه فينو,103,48,3,0.0625,Positive,شرقي
1103,    ابرار شاكر الجو خانق  الطعام يليق بفندق  نجومكلسعر مبالغ فيهلكن احس الاكل نظيف      ,    ابرار شكر الجو خانق  طعم يلق ندق  نجومكلسعر بلغ هل احس اكل ظيف      ,Pane Vino- بانيه فينو,103,13,5,0.384615384615385,Positive,شرقي
1104,    جوني روكرز امواج مطعم فريد نوعه يحضر الوجبات ويعد الوجبات السريعة الأمريكية الطعم رائع وكذالك لديهم نكهات ميزه الخدمة لديهم جداً رائع العاملين مبتسمين الجو العام مطل البحيره لأقون أمواج يوجد مكان لتدخين الخارج جو يناسب العوائل والشباب      ,    جو روكرز موج مطعم فرد نوع حضر وجب يعد وجب سرع امر طعم رئع كذل لدي نكه يزه خدم لدي جدا رئع عمل بسم لجو عام مطل بحر لأق موج وجد كان تدخ خرج جو نسب عئل شباب      ,Pane Vino- بانيه فينو,103,38,18,0.473684210526316,Positive,شرقي
1105,    تجمع كبير لمطاعم هذا التجمع لمطاعم يوفر تنوع كبير مختلف الأكلات لترضي مختلف الأذواق  فهناك مطعم لوجبات السريعة ومطعم مشويات  المنقل  وهناك مطعم ايراني ومطعم اسماك ومأكولات بحرية ومطعم باستا  الخ  المؤكد المطاعم سيقدم يحوز رضاك      ,    تجمع كبر طعم هذ جمع طعم وفر تنع كبر خلف اكل ترض خلف ذوق  فهن طعم وجب سرع طعم شوي  نقل  وهن طعم اير طعم سمك أكل بحر طعم بست  الخ  ؤكد طعم قدم يحز رضاك      ,Pane Vino- بانيه فينو,103,36,4,0.111111111111111,Positive,شرقي
1106,    الطعام الهندي المفضل احب الاكل الهندي المفضل البرياني لذيذ البهارات والسبايزفعلا المطعم ميز      ,    الطعام هند فضل حب اكل هند فضل برا لذذ بهر سبايزفعلا طعم يز      ,Pane Vino- بانيه فينو,103,13,8,0.615384615384615,Positive,شرقي
1107,    تجربة متميزة كانت تجربة رومانسية جميلة لانها احتفال بعيد ميلاد زوجي، لقد ترتيب طاولة خصيصا وكذالك تفاجئنا وصولنا بجمال الورود والشموع التي رتبت اجلنا،الاكل جيد كذالك الخدمة متازة،لقد تجربة جد جميلة ومتميزة      ,    تجرب تمز ك جرب رومانسية جمل لان حفل بعد يلد زوجي، لقد ريب طال خصص كذل فجئ وصل جمل ورد شمع التي رتب اجلنا،الاكل جيد كذل خدم متازة،لقد جرب جد جمل ومتميزة      ,Pane Vino- بانيه فينو,103,32,24,0.75,Positive,شرقي
1108,    مطعم لبناني مطعم لبناني يقع مجمع الشيرتون دورين الدور الاعلى لشيشه الديكورات كلاسكيه هادى الطعام جيد الكميات معقوله الخدمه بطيئه نوعا انصح به      ,    مطعم لبن مطعم لبن يقع جمع شير دور دور على لشش ديكور كلس هدى طعم جيد كمي عقل خدم بطئ نوع نصح ه      ,Pane Vino- بانيه فينو,103,23,6,0.260869565217391,Positive,شرقي
1109,    أفضل مطعم ومكان إيطالي المكان جميل والاطلالة رائعة والديكور رائع والموظفون ودودون ولكنهم قليلون المينيو مكتوب بأسماء إيطالية والمينيو شي طبيعي وجميع الأطباق لذيذة جربت عندهم شوربة الفطر وموزاريلا وطعمها رائع وكذلك قدموا خبز طازج بالفرن كتقديم ترحيبي مجاني وجربت الزانيا وطعمها لذيذ وكذلك الفوتوشيني والبيتزا الايطاليه الرائعه والبطاطا  وسعر المطعم مقبول مرتفعا أنصحكم لمتذوقي الطعم الايطالي الجميل      ,    أفضل طعم ومك يطل لم جمل طلل رئع ديكور رئع وظف ودد ولك قلل ينو كتب أسماء يطل ينو شي طبع جمع طبق لذذ جرب عند شورب فطر وموزاريلا طعم رئع كذل قدم خبز طزج فرن كتقديم رحب مجا جرب زان طعم لذذ كذل وتش يتز يطل رئع بطط  سعر طعم قبل رفع نصح تذق طعم يطل جميل      ,Pane Vino- بانيه فينو,103,58,40,0.689655172413793,Positive,شرقي
1110,    الذ اصابع جبن المطعم ايطالي الخدمه متازه وسريعه موقعه السيف سنتر عندهم اصابع جبن لذيذة جدا والستيك لذيذ كمطعم امريكي ايطالي يعتبر الافضل البحرين      ,    لذ صبع جبن المطعم يطل خدم تزه سرع وقع سيف نتر عند صبع جبن لذذ جدا ستك لذذ كمطعم امر يطل عبر فضل حرين      ,Zaitouni-زيتوني,104,24,8,0.333333333333333,Positive,شرقي
1111,    مطعم رائع بوفيه اسماك وجمبري محار متنوع طازج لذيذالسعر مناسب جداانصح بهالمكان نظيف ديكور جميلملاحظة واحدة المدخل يحتاج لتحسين      ,    مطعم رئع بوف سمك جمبر حار تنع طزج لذيذالسعر نسب جداانصح بهالمك نظف ديكور جميلملاحظة وحد دخل حاج لتحسين      ,Zaitouni-زيتوني,104,19,13,0.684210526315789,Positive,شرقي
1112,    مكان كلاسيكي جيد رغم مدخله  طريق باب المصعد بالخارج  ديكور الداخل منسق وجميل راقيكما طعامهم الأسماك الطازجة يتم اختيارها الزبون اختيار نوع الطبخة      ,    مك كلس جيد رغم دخل  طرق باب صعد خرج  ديكور دخل نسق جمل راقي طعم سمك طزج يتم خير زبن خير نوع طبخة      ,Zaitouni-زيتوني,104,23,10,0.434782608695652,Positive,شرقي
1113,    شوكولاته لذيذه فوندو الشوكولاته لذيذ مايا، وكيك السوفليه لذيذ وساخن التجربه ولن تكن الاخيره      ,    شوكولاته لذذ فوندو شوكولاته لذذ اي، وكك وفل لذذ وسخ جرب ولن تكن خيره      ,Zaitouni-زيتوني,104,14,3,0.214285714285714,Positive,شرقي
1114,    لذيذ  الطعام لذيذ طلبنا اطباق مشكلة الاكل لذيذ والجلسات الخارجية الشتاء رائعة يلاحظ الازدحام رغم اني زرته منتصف الاسبوع وقت مبكر  السابعة  خروجي الازدحام شديد المطعم والشارع يرجى الاخذ بعين الاعتبار التوقيت شي اخر  الاسعار مناسبة        ,    لذيذ  الطعام لذذ طلب طبق شكل اكل لذذ جلس خرج شتء رئع لحظ زدحام رغم اني زرت نصف سبع وقت بكر  سبع  خرج زدحام شدد طعم شرع رجى اخذ بعن عبر وقت شي اخر  سعر نسب        ,Zaitouni-زيتوني,104,36,10,0.277777777777778,Positive,شرقي
1115,    من أفضل مطاعم المنامة  هذا المطعم بدون مبالغة أفضل مطاعم المنامة  يقدم وجبات شهية جداً ويدخل عملها مكونات طازجة  كنت ستذهب عطلة الاسبوع فسيكون المطع مزدحم ولربما تحتاج الانتظار لوقت طويل      ,    من فضل طعم نام  هذ طعم بدن بلغ فضل طعم نام  قدم وجب شهة جدا دخل عمل كون طزج  كنت ذهب عطل سبع فسك مطع زدحم لرب حاج نظر لوق طويل      ,Zaitouni-زيتوني,104,31,6,0.193548387096774,Positive,شرقي
1116,    المطعم جميل وبسيط كل شيء جميل ورخيص المطعم الطعام منوع والاسعار رخيصه الشارع الفخم الزحمه مله ولكم لاباس الانتظار لجلوس والتمتع بالطعام الجميل      ,    المطعم جمل بسط كل شيء جمل رخص طعم طعم نوع سعر رخص شرع فخم زحم مله لكم ابس نظر جلس متع طعم جميل      ,Zaitouni-زيتوني,104,23,20,0.869565217391304,Positive,شرقي
1117,    زعلان ان زبون دام تفاجات حراس الامن يرفض دخولي بسب توجد معي عهيله بالمعني الصحيح بنت دوما بمفردي رغم اني التزم بجميع التعليمات الملابس والا احترام      ,    زعل ن زبن دام تفج حرس امن رفض دخل بسب وجد معي عهل عني صحح بنت دوم فرد رغم اني تزم جمع علم لبس ولا احترام      ,Zaitouni-زيتوني,104,26,1,0.0384615384615385,Positive,شرقي
1118,    مطعم دلعونه يعتبر الاكل دلعونه بجد نوعيه مختاره الحوم وانا افتاحه ذهبت ولازالو محافظين جودة الاكل يتميزون بالنكه البنانيه نظافه وجو حلو ومتع وهم الاكل متع      ,    مطعم دلعو يعتبر اكل دلعو بجد نوع ختر حوم ونا فاح ذهب زلو حفظ جود اكل تمز نكه بنن نظف وجو حلو متع وهم اكل تع      ,Zaitouni-زيتوني,104,26,9,0.346153846153846,Positive,شرقي
1119,    متاز الغرف متازه والفطور خيال ومتوفر الخدمات  حمام سباحه ومساج الميزه إنك وسط مجمع ستي سنتر وكل تحتاجه موجود      ,    متاز الغرف تزه فطر خيل توفر خدم  حمم سبح ساج الميزه انك وسط جمع ستي نتر وكل حاج موجود      ,Zaitouni-زيتوني,104,19,0,0,Neutral,شرقي
1120,    أكلات إيرانية ميزة زيارتي لمطعم أعطتني دافع ورغبة لتكرار الزياره مره آخر وذلك وجدته أكلات إيرانية ميزة وخدمات راقية  بصراحة أعجبني المطعم والأكل والخدمات المقدمة والديكور والألوان المريحة  أتمنى التوفيق والأفضل المطعم الراقي      ,    أكل يرن يزة زيارتي طعم اعط دفع رغب كرر زير مره اخر وذل وجد اكل يرن يزة خدم رقي  صرح عجب طعم اكل خدم قدم ديكور الو ريح  منى وفق فضل طعم راقي      ,Zaitouni-زيتوني,104,33,6,0.181818181818182,Positive,شرقي
1121,    مطعم الطراز المتاز لأكلات الايرانية المطعم متاز وراقي النواحي  ناحية الاكل متاز ناحية الخدمة فهي مستوى نجوم ناحية الديكور جميل وراقي ويفتح النفس اتمنى التوفيق لمطعم       ,    مطعم طرز تاز أكل يرن المطعم تاز ورق نحي  نحي اكل تاز نحي خدم فهي ستى نجم نحي ديكور جمل ورق فتح نفس اتمنى وفق طعم       ,Zaitouni-زيتوني,104,26,4,0.153846153846154,Positive,شرقي
1122,    أكل لذيذوساحرة الأجواء وايد حلوة   موسيقي هادئة الإضاءات عجيبهالسيرفس متاز الأكل منوع وايد لذيذ شي حلو يعني  بغيت أكل إيراني حلو انصح لمطعم      ,    أكل لذيذوساحرة الأجواء ويد حلة   وسق هدئ الإضاء عجيبهالسيرفس تاز الأكل نوع ويد لذذ شي حلو يعن  بغت اكل اير حلو نصح طعم      ,Zaitouni-زيتوني,104,24,4,0.166666666666667,Positive,شرقي
1123,    افضل مطعم البحرين قد تستغرب قائمه الطعام المعقده تعطيك ايه خيارات الستيك الاكل خورافي شي الهمبرغرات الدجاج بالاضافه وجود الذ ستيك ستاكله حياتك ديكور المطعم الجميل الخدمه الميزه بالتاكيد ستنسيك غلاء اسعار المطعم      ,    افضل طعم بحر قد غرب قئم طعم عقد عطك ايه خير ستك اكل خوراف شي همبرغر دجج ضفه وجد الذ ستك تكل حيت ديكور طعم جمل خدم يزه اكد تنس غلء سعر مطعم      ,Zaitouni-زيتوني,104,33,6,0.181818181818182,Positive,شرقي
1124,    متاز اتمنى التوفيق متاز احب اترد المكان كئيرا انا وزوجي وبناتيتمنيات القلبية بالنجاح والتوفيق واتمنى زيارته الايام شاء اله      ,    متاز منى وفق متاز احب ترد كان كئر انا وزج وبناتيتمني قلب نجح وفق منى زير ايم شاء ه      ,Zaitouni-زيتوني,104,19,0,0,Neutral,شرقي
1125,    بوفية فطور روعة بوفية فطور روعةنزلت الصباح الباكروكان البوفية مزدحموالاختيارات كثيرةوالفطور متعالطعام جيد واكثر الخدمة متازة المكان روعةالتجربة كلها تستحق التكرار شاء اله عائد مرة اخرى      ,    بف فطر روع بوف فطر روعةنزلت صبح باكروك بوف مزدحموالاختيار كثيرةوالفطور متعالطعام جيد كثر خدم تاز كان روعةالتجربة كله سحق كرر شاء اله عئد مرة خرى      ,Zaitouni-زيتوني,104,26,5,0.192307692307692,Positive,شرقي
1126,    ليلو يعني البحرين بساطه تزر ليلو تذوق حلواه الفاخره وتحتسب قهوته الرائعه تجلس المكان الانيق المبهج فانت تزر البحرين الزحمه موجوده فرعين العالي والعدليه لذا لاتعجب تجد قطعتك المفضله الحلوى وستضطر تاخذ غيرها لتعلم الحظ يقف صفك دائما مره تزور المكان      ,    ليلو يعن بحر بساط تزر يلو تذق حلا فخر حسب قهت رئع جلس كان انق بهج فنت تزر بحر زحم وجد فرع علي عدل لذا عجب تجد قطع فضل حلى ضطر تخذ غير علم لحظ يقف صفك دائ مره تزر مكان      ,Zaitouni-زيتوني,104,41,14,0.341463414634146,Positive,شرقي
1127,    كافيه اروع كافيه ليلوروعه بمعني الكلمه وسلطة سيزرديه حكايه تانيه وكلوب ساندوش عجيب حده والتركش كافيه حلو ابي ينقص المحب الواي فاي      ,    كف ارع كاف ليلوروعه بمع كلم سلط زرد حكي انه كلب دوش عجب حده ركش كفي حلو ابي نقص محب واي ي      ,Zaitouni-زيتوني,104,22,2,0.0909090909090909,Positive,شرقي
1128,    مقهى رائع بالعالي بالقرب مجمع السيف مقهى رائع بالعالي بالقرب مجمع السيفحاولنا انا وعائلتي الحلوس مرتين استطعنا بالنهاية الجلوس لبعض الحلويات والمشروبات الساخنةالمقهى رائع مزدحم دائما لذا اري اني احيذ العودة مرة عادية      ,    مقهى رئع علي قرب جمع سيف مقهى رئع علي قرب جمع سيفحاول انا وعل حلس مرت سطع نهي جلس بعض حلي شرب ساخنةالمقهى رئع زدحم دائ لذا اري اني احذ عود مرة عادية      ,Zaitouni-زيتوني,104,33,29,0.878787878787879,Positive,شرقي
1129,    ديكور رائع وأكل عادي المكتوب واضح عنوانه، الديكورات جداً رائعه عمري شفت بهالروعة الأكل عادي جداً  ماكي أفضل ناحية الأكل   وجهة نظري مكان جذب سياحي مطعم  بعدين ليش النادلات الاناث لابسين نص الفخذ بينما النادلين الذكور متسترين تعرونهم كلهم تسترونهم كلهم باب المساواة والابتعاد التسليع         ,    ديكور رئع أكل عدي المكتوب وضح عنوانه، ديكور جدا رئع عمر شفت بهالروعة اكل عدي جدا  اكي فضل نحي اكل   وجه نظر كان جذب سيح طعم  بعد ليش ندل انث لبس نص فخذ بين ندل ذكر متسترين عرو كلهم سرو كلهم باب ساا بعد سلع         ,Zaitouni-زيتوني,104,45,11,0.244444444444444,Positive,شرقي
1130,    اجواء ساحرة اكل لذيذ الاجواء وايد حلوة  موسيقى هادئة  الاضاءات عجيبه  السيرفس متاز  الاكل منوع وايد لذيذ شي حلو يعني بغيت اكل ياباني حلو انصح بهالمطعم      ,    اجواء سحر اكل لذذ الاجواء ويد حلة  موسيقى هدئ  اضء عجب  رفس تاز  اكل نوع ويد لذذ شي حلو يعن بغت اكل يبا حلو نصح بهالمطعم ♥      ,Zaitouni-زيتوني,104,27,5,0.185185185185185,Positive,شرقي
1131,    جميل تجربه جميله واطباق لذيذه يستحق الزياره مره اخرى      ,    جميل تجرب جمل طبق لذذ سحق زير مره خرى      ,Zaitouni-زيتوني,104,9,9,1,Positive,شرقي
1132,    أطباق جديدة خيالية كلما اذهب ماكى اعرف بأني اتفاجاء بأطباق جديدة المرة المفاجأة الأكبر أني تناولت طبقين جديدين  الطبق الأول يسمى وفا ماكي والطبق يسمى بورتبلو بلاك انجس تيبانياكي  الطبقان كانا روعه نمن النكهة وفن التقديملا يطوفكم الطبقان        ,    أطباق جدد خيل كل ذهب اكى عرف بأن اجء أطباق جدد مرة فجأ كبر اني نول طبق جدد  طبق اول سمى وفا اكي طبق سمى رتبلو بلك نجس تيبانياكي  طبق كنا روع م نكه وفن تقديملا يطف طبق        ,Zaitouni-زيتوني,104,38,2,0.0526315789473684,Positive,شرقي
1133,    مطعم الطراز المتاز  كانت الزيارة الأولى الطعم مفاجأة بكل المقايس  الديكور عصري وغير مل كالمطاعم اليابانية المتواجدة البحرين  الخدمة نجوم  الأكل المفاجأة الكبري الأطباق خيالية ناحية الطعم وكلها إبداع المطعم وغير تقليدية      ,    مطعم طرز تاز  ك زير ولى طعم فجأ بكل قاس  ديكور عصر وغر مل طعم ياب واجد بحر  خدم نجم  اكل فجأ كبر طبق خيل نحي طعم وكل بدع طعم وغر تقليدية      ,Zaitouni-زيتوني,104,32,-1,-0.03125,Negative,شرقي
1134,    المكان هادئ ورومانسي المكان حلو والأكل روعة أنصح لمحبي الماكي والسوشي سلطة كرسبي السلطة المفضلة  الخدمة جيدة والسعر مرتفع نوعاً ما      ,    لم هدئ ورومانسي لم حلو اكل روعة نصح محب اكي شي سلط كرسب سلط فضل  خدم جيد سعر رفع نوع ا      ,Zaitouni-زيتوني,104,21,9,0.428571428571429,Positive,شرقي
1135,    جيد الديكور رائع والبوفيه جيد  كبسة الدجاج متازه  السلطات جيده  البوفيه متنوع وهذه ملاحظه  بالنسبة السعر معقول  شي متاز والخدمة متازة  بالتوفيقام تركي         ,    جد الديكور رئع بوف جيد  كبس دجج تزه  سلط جيد  بوف تنع وهذ لحظ  نسب سعر عقل  شي تاز خدم تاز  توفيقام ترك         ,Zaitouni-زيتوني,104,23,17,0.739130434782609,Positive,شرقي
1136,     ذهبت المرة السابقة العشاء أصدقائي يحبون الأكل الاوروبي  اعتقدت المطعم يقدم أفضل الأكلات الأوروبية قراءة الريفيوز الصدمة كبيره اذ الطعام المستوى والخدمة سيئة لغاية  يكن انتباه عناية لنادلة  الزيارة بالتأكيد الآخيرة تستأهل  انصح المطعم إطلاق      ,     ذهب مرة سبق عشء صدقائ يحب اكل ورب  عقد طعم قدم فضل اكل ورب قرء ريفيوز صدم كبر اذ طعم ستى خدم سيئ لغي  يكن نبه عني ندل  زير أكد خير أهل  نصح طعم طلاق      ,Zaitouni-زيتوني,104,35,-4,-0.114285714285714,Negative,شرقي
1137,    زحلة زحلة افضل المطاعم البحرين الخدمة وطريقة التعامل ونوع الطعام وانه مطعم عائلي وطريقة تعامل الموظفين وخصوصاً السيد سمير وطريقة اداء عمله بكل رقي والمدير ربيع اهتمامه واستقباله شكرا لكل الموظفين      ,    زحل زحل فضل طعم بحر خدم طرق عمل ونع طعم ونه طعم عئل طرق عمل وظف خصص سيد سمر طرق ادء عمل بكل رقي دير ربع همم واستقباله شكر لكل موظفين      ,Zaitouni-زيتوني,104,31,10,0.32258064516129,Positive,شرقي
